t	p	V	L	psi	z
0.00224	95.3663	83.3933	0.0474091	0.0550435	0.0550435
0.00225	96.4351	84.5674	0.0482489	0.0557795	0.0557795
0.00226	97.512	85.7547	0.0491005	0.0565237	0.0565237
0.00227	98.5971	86.9552	0.049964	0.0572762	0.0572762
0.00228	99.6901	88.1691	0.0508396	0.0580371	0.0580371
0.00229	100.791	89.3964	0.0517274	0.0588063	0.0588063
0.0023	101.9	90.6372	0.0526276	0.0595841	0.0595841
0.00231	103.017	91.8917	0.0535402	0.0603704	0.0603704
0.00232	104.142	93.1598	0.0544655	0.0611653	0.0611653
0.00233	105.275	94.4418	0.0554035	0.0619689	0.0619689
0.00234	106.415	95.7377	0.0563543	0.0627812	0.0627812
0.00235	107.564	97.0477	0.0573183	0.0636023	0.0636023
0.00236	108.72	98.3717	0.0582953	0.0644322	0.0644322
0.00237	109.883	99.7099	0.0592857	0.0652711	0.0652711
0.00238	111.054	101.062	0.0602896	0.0661188	0.0661188
0.00239	112.232	102.429	0.061307	0.0669756	0.0669756
0.0024	113.418	103.811	0.0623382	0.0678415	0.0678415
0.00241	114.611	105.207	0.0633833	0.0687165	0.0687165
0.00242	115.811	106.617	0.0644424	0.0696007	0.0696007
0.00243	117.019	108.043	0.0655157	0.0704941	0.0704941
0.00244	118.233	109.483	0.0666033	0.0713968	0.0713968
0.00245	119.455	110.938	0.0677054	0.0723089	0.0723089
0.00246	120.683	112.408	0.0688221	0.0732303	0.0732303
0.00247	121.918	113.893	0.0699536	0.0741613	0.0741613
0.00248	123.159	115.393	0.0711	0.0751017	0.0751017
0.00249	124.407	116.909	0.0722615	0.0760516	0.0760516
0.0025	125.662	118.44	0.0734382	0.0770112	0.0770112
0.00251	126.922	119.986	0.0746304	0.0779804	0.0779804
0.00252	128.189	121.548	0.075838	0.0789594	0.0789594
0.00253	129.462	123.125	0.0770614	0.079948	0.079948
0.00254	130.741	124.718	0.0783006	0.0809465	0.0809465
0.00255	132.026	126.326	0.0795558	0.0819548	0.0819548
0.00256	133.316	127.951	0.0808271	0.082973	0.082973
0.00257	134.612	129.591	0.0821148	0.0840011	0.0840011
0.00258	135.914	131.247	0.083419	0.0850391	0.0850391
0.00259	137.22	132.919	0.0847398	0.0860872	0.0860872
0.0026	138.532	134.607	0.0860775	0.0871453	0.0871453
0.00261	139.849	136.311	0.087432	0.0882135	0.0882135
0.00262	141.17	138.032	0.0888037	0.0892919	0.0892919
0.00263	142.496	139.768	0.0901927	0.0903804	0.0903804
0.00264	143.827	141.521	0.0915992	0.0914791	0.0914791
0.00265	145.161	143.29	0.0930232	0.092588	0.092588
0.00266	146.5	145.076	0.094465	0.0937071	0.0937071
0.00267	147.843	146.878	0.0959248	0.0948366	0.0948366
0.00268	149.19	148.696	0.0974026	0.0959764	0.0959764
0.00269	150.541	150.531	0.0988987	0.0971265	0.0971265
0.0027	151.894	152.382	0.100413	0.098287	0.098287
0.00271	153.251	154.25	0.101946	0.099458	0.099458
0.00272	154.611	156.135	0.103498	0.100639	0.100639
0.00273	155.974	158.036	0.105069	0.101831	0.101831
0.00274	157.34	159.954	0.106659	0.103033	0.103033
0.00275	158.708	161.889	0.108268	0.104246	0.104246
0.00276	160.078	163.841	0.109897	0.105469	0.105469
0.00277	161.45	165.809	0.111545	0.106703	0.106703
0.00278	162.825	167.794	0.113213	0.107947	0.107947
0.00279	164.2	169.796	0.114901	0.109202	0.109202
0.0028	165.578	171.815	0.116609	0.110468	0.110468
0.00281	166.956	173.85	0.118337	0.111744	0.111744
0.00282	168.335	175.903	0.120086	0.11303	0.11303
0.00283	169.715	177.973	0.121856	0.114328	0.114328
0.00284	171.096	180.059	0.123646	0.115635	0.115635
0.00285	172.477	182.162	0.125457	0.116954	0.116954
0.00286	173.858	184.282	0.127289	0.118283	0.118283
0.00287	175.239	186.419	0.129143	0.119622	0.119622
0.00288	176.619	188.573	0.131017	0.120972	0.120972
0.00289	177.999	190.744	0.132914	0.122333	0.122333
0.0029	179.378	192.932	0.134832	0.123704	0.123704
0.00291	180.756	195.137	0.136773	0.125086	0.125086
0.00292	182.132	197.358	0.138735	0.126479	0.126479
0.00293	183.507	199.597	0.14072	0.127882	0.127882
0.00294	184.88	201.852	0.142727	0.129296	0.129296
0.00295	186.251	204.124	0.144757	0.13072	0.13072
0.00296	187.619	206.413	0.14681	0.132154	0.132154
0.00297	188.985	208.718	0.148885	0.133599	0.133599
0.00298	190.348	211.04	0.150984	0.135055	0.135055
0.00299	191.708	213.379	0.153106	0.136521	0.136521
0.003	193.064	215.735	0.155252	0.137998	0.137998
0.00301	194.417	218.107	0.157421	0.139484	0.139484
0.00302	195.766	220.495	0.159614	0.140982	0.140982
0.00303	197.111	222.9	0.161831	0.142489	0.142489
0.00304	198.452	225.322	0.164072	0.144007	0.144007
0.00305	199.788	227.76	0.166337	0.145535	0.145535
0.00306	201.119	230.214	0.168627	0.147074	0.147074
0.00307	202.444	232.685	0.170942	0.148622	0.148622
0.00308	203.765	235.171	0.173281	0.150181	0.150181
0.00309	205.079	237.674	0.175645	0.15175	0.15175
0.0031	206.388	240.193	0.178035	0.153329	0.153329
0.00311	207.691	242.728	0.180449	0.154918	0.154918
0.00312	208.987	245.279	0.182889	0.156516	0.156516
0.00313	210.276	247.845	0.185355	0.158125	0.158125
0.00314	211.559	250.428	0.187846	0.159744	0.159744
0.00315	212.834	253.026	0.190363	0.161372	0.161372
0.00316	214.102	255.64	0.192907	0.163011	0.163011
0.00317	215.362	258.269	0.195476	0.164659	0.164659
0.00318	216.615	260.913	0.198072	0.166316	0.166316
0.00319	217.859	263.573	0.200695	0.167983	0.167983
0.0032	219.095	266.248	0.203344	0.16966	0.16966
0.00321	220.322	268.938	0.20602	0.171346	0.171346
0.00322	221.54	271.643	0.208722	0.173042	0.173042
0.00323	222.749	274.363	0.211452	0.174747	0.174747
0.00324	223.948	277.097	0.21421	0.176461	0.176461
0.00325	225.138	279.846	0.216994	0.178184	0.178184
