t	p	V	L	psi	z
0.00212	179.628	129.751	0.0646958	0.103394	0.103394
0.00213	182.192	131.966	0.0660044	0.105113	0.105113
0.00214	184.782	134.213	0.0673352	0.106857	0.106857
0.00215	187.396	136.491	0.0686887	0.108625	0.108625
0.00216	190.034	138.801	0.0700652	0.110419	0.110419
0.00217	192.698	141.144	0.0714649	0.112237	0.112237
0.00218	195.385	143.52	0.0728882	0.114082	0.114082
0.00219	198.097	145.929	0.0743354	0.115951	0.115951
0.0022	200.832	148.371	0.0758068	0.117847	0.117847
0.00221	203.591	150.847	0.0773029	0.119769	0.119769
0.00222	206.374	153.356	0.0788239	0.121717	0.121717
0.00223	209.18	155.9	0.0803702	0.123691	0.123691
0.00224	212.008	158.479	0.081942	0.125693	0.125693
0.00225	214.859	161.092	0.0835398	0.127721	0.127721
0.00226	217.732	163.74	0.085164	0.129777	0.129777
0.00227	220.628	166.424	0.0868148	0.13186	0.13186
0.00228	223.544	169.143	0.0884926	0.13397	0.13397
0.00229	226.482	171.898	0.0901977	0.136109	0.136109
0.0023	229.441	174.689	0.0919306	0.138275	0.138275
0.00231	232.42	177.516	0.0936916	0.14047	0.14047
0.00232	235.419	180.38	0.0954811	0.142693	0.142693
0.00233	238.437	183.281	0.0972994	0.144945	0.144945
0.00234	241.475	186.219	0.0991468	0.147225	0.147225
0.00235	244.531	189.194	0.101024	0.149535	0.149535
0.00236	247.605	192.207	0.102931	0.151873	0.151873
0.00237	250.696	195.257	0.104868	0.154241	0.154241
0.00238	253.804	198.346	0.106836	0.156638	0.156638
0.00239	256.929	201.472	0.108835	0.159065	0.159065
0.0024	260.07	204.637	0.110866	0.161522	0.161522
0.00241	263.225	207.84	0.112928	0.164009	0.164009
0.00242	266.396	211.083	0.115023	0.166525	0.166525
0.00243	269.58	214.364	0.11715	0.169072	0.169072
0.00244	272.777	217.684	0.11931	0.171649	0.171649
0.00245	275.987	221.043	0.121504	0.174257	0.174257
0.00246	279.209	224.442	0.123731	0.176895	0.176895
0.00247	282.442	227.88	0.125993	0.179564	0.179564
0.00248	285.685	231.358	0.128289	0.182264	0.182264
0.00249	288.938	234.876	0.13062	0.184994	0.184994
0.0025	292.2	238.434	0.132986	0.187756	0.187756
0.00251	295.47	242.031	0.135389	0.190548	0.190548
0.00252	298.747	245.669	0.137827	0.193372	0.193372
0.00253	302.03	249.347	0.140302	0.196227	0.196227
0.00254	305.319	253.065	0.142814	0.199113	0.199113
0.00255	308.612	256.823	0.145364	0.20203	0.20203
0.00256	311.91	260.622	0.147951	0.204979	0.204979
0.00257	315.21	264.461	0.150576	0.207959	0.207959
0.00258	318.512	268.34	0.15324	0.21097	0.21097
0.00259	321.815	272.26	0.155943	0.214013	0.214013
0.0026	325.118	276.221	0.158686	0.217087	0.217087
0.00261	328.42	280.221	0.161468	0.220192	0.220192
0.00262	331.721	284.263	0.16429	0.223329	0.223329
0.00263	335.018	288.344	0.167153	0.226498	0.226498
0.00264	338.312	292.466	0.170057	0.229697	0.229697
0.00265	341.6	296.629	0.173003	0.232928	0.232928
0.00266	344.883	300.831	0.17599	0.23619	0.23619
0.00267	348.159	305.074	0.179019	0.239483	0.239483
0.00268	351.427	309.356	0.182091	0.242808	0.242808
0.00269	354.685	313.679	0.185207	0.246163	0.246163
0.0027	357.934	318.042	0.188365	0.249549	0.249549
0.00271	361.171	322.444	0.191568	0.252966	0.252966
0.00272	364.397	326.886	0.194814	0.256414	0.256414
0.00273	367.608	331.367	0.198105	0.259893	0.259893
0.00274	370.806	335.887	0.201442	0.263401	0.263401
0.00275	373.988	340.447	0.204823	0.266941	0.266941
0.00276	377.153	345.045	0.208251	0.27051	0.27051
0.00277	380.301	349.682	0.211724	0.274109	0.274109
0.00278	383.429	354.357	0.215244	0.277738	0.277738
0.00279	386.538	359.071	0.218812	0.281397	0.281397
0.0028	389.627	363.822	0.222426	0.285085	0.285085
0.00281	392.693	368.612	0.226088	0.288803	0.288803
0.00282	395.735	373.438	0.229798	0.292549	0.292549
0.00283	398.754	378.302	0.233557	0.296325	0.296325
0.00284	401.748	383.202	0.237364	0.300129	0.300129
0.00285	404.715	388.139	0.241221	0.303961	0.303961
